الاجمالي,الرصيد,الايراد,المصروف,التاريخ,ملاحظات,ID
33342,-63416,,63416,"01/01/25 00:00:00","مرتبات",2
39622,6280,6430,150,"01/01/25 00:00:00","نوري150",3
39042,-180,,180,"01/01/25 00:00:00","مصطفى السعدني ",5
38807,-85,,85,"01/01/25 00:00:00","جولد اي",7
41282,2475,2475,,"01/01/25 00:00:00","تقفيل حساب نوري",8
41727,445,615,170,"01/02/25 00:00:00","اوفو170",9
41642,-85,,85,"01/02/25 00:00:00","جولد اي",10
51887,10305,10455,150,"01/04/25 00:00:00","نوري300",12
51807,-80,,80,"01/04/25 00:00:00","مواصلات ابن سينا",13
51587,-220,,220,"01/04/25 00:00:00","بالطوهات",14
51437,-150,,150,"01/04/25 00:00:00","نوري450",15
31987,-19250,,19250,"01/04/25 00:00:00","ايجارالشروق",17
30667,-500,,500,"01/04/25 00:00:00","الجمعية د السعدني",19
88402,58600,58600,,"01/04/25 00:00:00","د السعدني تأمينات",21
33402,-55000,,55000,"01/05/25 00:00:00","دفع التامينات",22
13002,-26600,,26600,"01/05/25 00:00:00","ايجار بطرس",24
19107,6105,6105,,"01/05/25 00:00:00","طنطا",25
18257,-850,,850,"01/05/25 00:00:00","د السعدني مروة",26
17722,-85,,85,"01/05/25 00:00:00","اوفو255",28
15522,-2000,,2000,"01/06/25 00:00:00","البنات عربي",30
14222,-1300,,1300,"01/06/25 00:00:00","البنات قرأن",31
16012,1840,1925,85,"01/06/25 00:00:00","جولد اي",33
53337,-85,,85,"01/07/25 00:00:00","كريزي",35
52637,-700,,700,"01/07/25 00:00:00","ابو يوسف بنزين",36
52563,-74,,74,"01/07/25 00:00:00","سكر2 ك",37
65553,12990,14940,1950,"01/08/25 00:00:00","نمير مرتجع من 1-8 حتى 31-12(باقي1900)",38
65568,15,15,,"01/08/25 00:00:00","طباعة مروة",39
65493,-75,,75,"01/08/25 00:00:00","نوري 525",40
34197,-31211,,31211,"01/09/25 00:00:00","النسبة",42
18197,-16000,,16000,"01/09/25 00:00:00","مكافأة د السعدني",43
18757,560,560,,"01/09/25 00:00:00","طنطا",44
14757,-4000,,4000,"01/09/25 00:00:00","العربية ابو يوسف",45
20157,6500,6500,,"01/11/25 00:00:00","طنطا",47
19907,-250,,250,"01/11/25 00:00:00","السعدني/قران",48
19757,-150,,150,"01/11/25 00:00:00","نوري675",49
19637,50,50,,"01/12/25 00:00:00","زيادة لحالة صالح فريد",51
44817,-85,,85,"01/13/25 00:00:00","اوفو595",54
40392,-4425,,4425,"01/14/25 00:00:00","قطرات سانوليفوكس 100*44.25",55
39542,-850,,850,"01/14/25 00:00:00","البنات",56
54402,14860,14860,,"01/14/25 00:00:00","طنطا",57
24060,-30250,,30250,"01/15/25 00:00:00","التامينات",59
23060,-1000,,1000,"01/15/25 00:00:00","حساب 10 ايام هدير 100*9 حتي شهر 12 + يوم من شهر 1",60
44207,21147,21222,75,"01/15/25 00:00:00","نوري900",61
44107,-100,,100,"01/15/25 00:00:00","تركيب حنفية الشروق",62
31937,-10170,,10170,"01/15/25 00:00:00"," مستلزمات الشروق/عصام+مواصلات",64
31959,22,22,,"01/15/25 00:00:00","طباعة",65
31609,-200,,200,"01/16/25 00:00:00"," عيون الشروق1000كارت",67
47034,15425,15520,95,"01/16/25 00:00:00","ضيافة",68
