الايراد,المصروف,التاريخ,ملاحظات,ID,الاجمالي,الرصيد
0,50,"01/14/26 00:00:00","من حساب يوم إضافي \ طاهر باقي 130",2799,41239,-50
0,60,"01/14/26 00:00:00","سكر",2800,41179,-60
0,430,"01/14/26 00:00:00","أكياس للعمليات ومنظفات",2801,40749,-430
0,460,"01/14/26 00:00:00","انستا",2802,40289,-460
0,270,"01/15/26 00:00:00","جولد اي",2803,40019,-270
2900,515,"01/15/26 00:00:00","مواصلات ابن سينا+بالطوهات",2804,42404,2385
5560,270,"01/17/26 00:00:00","نوري",2805,47694,5290
0,1200,"01/17/26 00:00:00","أبو عمر",2806,46494,-1200
0,90,"01/14/26 00:00:00","نوري",2807,46404,-90
0,1000,"01/17/26 00:00:00","أبو يوسف بنزين",2808,45404,-1000
32640,950,"01/18/26 00:00:00","كوبايات *350+فايلات شفافة4*130+80 مواصلات",2811,77094,31690
0,1880,"01/18/26 00:00:00","كهرباء الدار",2812,75214,-1880
0,90,"01/18/26 00:00:00","جولد اي",2813,75124,-90
7290,0,"01/19/26 00:00:00","طه تم السداد",2814,82414,7290
0,90,"01/19/26 00:00:00","جولد اي",2815,82324,-90
0,320,"01/19/26 00:00:00","تعاقد الشروق",2816,82004,-320
0,155,"01/19/26 00:00:00","شفت الفني -ه",2817,81849,-155
0,20,"01/19/26 00:00:00","مواصلات الملفات",2819,81829,-20
30,30,"01/19/26 00:00:00","طه",2820,81829,0
0,520,"01/20/26 00:00:00","اوفتابانتين *13",2821,81309,-520
25400,0,"01/20/26 00:00:00",,2822,106709,25400
0,1000,"01/20/26 00:00:00","نورا لأول الشهر",2823,105709,-1000
0,1500,"01/20/26 00:00:00","أبو عمر",2824,104209,-1500
0,1000,"01/20/26 00:00:00","أبو يوسف/عجلة عمر",2825,103209,-1000
0,4000,"01/20/26 00:00:00","شهرية جاد",2826,99209,-4000
0,3000,"01/20/26 00:00:00","اوردر الدكتوره",2827,96209,-3000
,300,"01/13/26 00:00:00","أبو عمر/obd",2793,12394,-300
14615,465,"01/13/26 00:00:00","انستا باي",2795,26544,14150
14765,20,"01/14/26 00:00:00","أبو عمر",2796,41289,14745
169420.6,,"12/31/23 00:00:00","رصيد سابق ",1,169421,169421
,58117,"01/01/24 00:00:00","المرتبات",2,111304,-58117
,17000,"01/01/24 00:00:00","تحت حساب العيادة شهر12",3,94304,-17000
,900,"01/01/24 00:00:00","اضافي الفنيين+هدير ال300 جنيه*2",4,93404,-900
830,,"01/01/24 00:00:00","طنطا",5,94234,830
,1000,"01/01/24 00:00:00","عم سعيدالبواب",6,93234,-1000
,120,"01/01/24 00:00:00","اوفو120",7,93114,-120
,270,"01/01/24 00:00:00","اسدال للبنات في الشروق",8,92844,-270
16235,,"01/02/24 00:00:00","طنطا",9,109079,16235
,24200,"01/02/24 00:00:00","ايجار بطرس",10,84879,-24200
,500,"01/03/24 00:00:00","الجمعية",11,84379,-500
,320,"01/02/24 00:00:00","كوبايات كرتونة",12,84059,-320
,520,"01/03/24 00:00:00","ورق 4 باكو*130 70 جرام",13,83539,-520
,60,"01/02/24 00:00:00","شعاع60",14,83479,-60
,60,"01/02/24 00:00:00","اوفو180",15,83419,-60
5330,,"01/03/24 00:00:00","طنطا",16,88749,5330
,10,"01/03/24 00:00:00","قص ورق",17,88739,-10
,17500,"01/04/24 00:00:00","ايجار الشروق",18,71239,-17500
,325,"01/04/24 00:00:00","فودافون",19,70914,-325
,170,"01/04/24 00:00:00","اورانج",20,70744,-170
,7000,"01/04/24 00:00:00","د السعدني",21,63744,-7000
550,54,"01/04/24 00:00:00","2ك سكر",22,64240,496
,2085,"01/06/24 00:00:00","جونتي معقم3*620+اوفر هيد واوفر شوز 2و4",23,62155,-2085
5955,,"01/06/24 00:00:00","طنطا",24,68110,5955
,50,"01/06/24 00:00:00","شاي",25,68060,-50
20855,88,"01/07/24 00:00:00"," الشروق2ك سكر",26,88827,20767
,95,"01/07/24 00:00:00","شاي اخضر+معطرات",27,88732,-95
,60,"01/07/24 00:00:00","شعاع120",28,88672,-60
